dataset,embedding,rejection_method,classifier,num_known,num_unknown,seed,threshold,ACC_known,ACC_unknown,AUROC,OSCR
esc50,clap,class_threshold,cosine,40,10,0,"{0: 0.7269003987312317, 1: 0.8396216630935669, 2: 0.6737574338912964, 6: 0.7879914045333862, 7: 0.6567116975784302, 8: 0.7918063402175903, 9: 0.8264541625976562, 10: 0.6642042398452759, 11: 0.753137469291687, 13: 0.680519163608551, 14: 0.6747939586639404, 17: 0.8031349182128906, 18: 0.8110769987106323, 19: 0.7970907092094421, 20: 0.6895884871482849, 21: 0.7356867838387537, 22: 0.6582211852073669, 23: 0.6452902555465698, 24: 0.7608815431594849, 26: 0.6159834861755371, 27: 0.7579669952392578, 28: 0.7095803022384644, 29: 0.6525648236274719, 31: 0.6752046346664429, 32: 0.6628826856613159, 33: 0.6004290580749512, 34: 0.6973886489868164, 35: 0.6245011705340762, 36: 0.7452164888381958, 37: 0.6792457699775696, 38: 0.739710807800293, 39: 0.7059757113456726, 41: 0.6855935454368591, 42: 0.7529847025871277, 43: 0.696628212928772, 44: 0.672836422920227, 45: 0.7879824042320251, 46: 0.7939368486404419, 47: 0.6298440098762512, 49: 0.7118326425552368}",0.9375,0.85,0.977421875,0.9288476562500003
esc50,clap,class_threshold,cosine,30,20,0,"{0: 0.7269003987312317, 1: 0.8396216630935669, 2: 0.6737574338912964, 6: 0.7879914045333862, 7: 0.6567116975784302, 8: 0.7918063402175903, 10: 0.5284659531381395, 13: 0.65666663646698, 17: 0.8031349182128906, 19: 0.7970907092094421, 20: 0.6895884871482849, 21: 0.7356867838387537, 22: 0.6582211852073669, 23: 0.6452902555465698, 24: 0.7608815431594849, 26: 0.6159834861755371, 27: 0.7579669952392578, 29: 0.6525648236274719, 31: 0.6752046346664429, 33: 0.6004290580749512, 34: 0.6973886489868164, 36: 0.7452164888381958, 37: 0.6792457699775696, 38: 0.739710807800293, 39: 0.7059757113456726, 41: 0.6855935454368591, 43: 0.696628212928772, 44: 0.672836422920227, 46: 0.7939368486404419, 47: 0.6298440098762512}",0.9416666666666667,0.85,0.9800520833333334,0.9332812499999998
esc50,clap,class_threshold,cosine,20,30,0,"{0: 0.7269003987312317, 2: 0.6737574338912964, 6: 0.7879914045333862, 7: 0.6567116975784302, 10: 0.6642042398452759, 17: 0.8031349182128906, 21: 0.7356867838387537, 22: 0.6582211852073669, 24: 0.7608815431594849, 26: 0.6159834861755371, 29: 0.6525648236274719, 31: 0.6752046346664429, 33: 0.6004290580749512, 34: 0.6973886489868164, 36: 0.7452164888381958, 37: 0.6792457699775696, 38: 0.739710807800293, 39: 0.7059757113456726, 44: 0.672836422920227, 46: 0.7939368486404419}",0.93125,0.925,0.9754947916666666,0.9222395833333332
esc50,clap,class_threshold,cosine,15,35,0,"{2: 0.6737574338912964, 6: 0.7879914045333862, 7: 0.6567116975784302, 10: 0.6642042398452759, 17: 0.8031349182128906, 21: 0.7356867838387537, 22: 0.6582211852073669, 24: 0.7608815431594849, 29: 0.6525648236274719, 31: 0.6752046346664429, 33: 0.6004290580749512, 34: 0.6973886489868164, 37: 0.6792457699775696, 39: 0.7059757113456726, 44: 0.672836422920227}",0.9166666666666666,0.9321428571428572,0.9763988095238096,0.9103571428571429
esc50,clap,class_threshold,cosine,10,40,0,"{6: 0.7879914045333862, 7: 0.6567116975784302, 10: 0.6642042398452759, 17: 0.8031349182128906, 21: 0.7418351173400879, 29: 0.6525648236274719, 33: 0.6004290580749512, 37: 0.6792457699775696, 39: 0.7059757113456726, 44: 0.672836422920227}",0.9625,0.953125,0.9909375,0.9563671874999999
esc50,clap,class_threshold,euclidean,40,10,0,"{0: -22.572370529174805, 1: -17.7138729095459, 2: -24.607343673706055, 6: -20.082117080688477, 7: -25.120033264160156, 8: -20.049102783203125, 9: -18.277162551879883, 10: -24.919214248657227, 11: -21.744915008544922, 13: -23.919355392456055, 14: -24.196605682373047, 17: -19.444181442260742, 18: -19.189651489257812, 19: -19.88019561767578, 20: -24.389074325561523, 21: -22.342619953733504, 22: -25.092975616455078, 23: -25.456960678100586, 24: -21.393165588378906, 26: -26.240251541137695, 27: -21.48578453063965, 28: -23.33987045288086, 29: -25.054792404174805, 31: -24.275014877319336, 32: -25.186717987060547, 33: -26.97964859008789, 34: -23.70810317993164, 35: -25.71546173095703, 36: -21.774051666259766, 37: -24.172006607055664, 38: -22.006052017211914, 39: -23.349645614624023, 41: -24.3918514251709, 42: -21.388240814208984, 43: -23.525415420532227, 44: -24.207359313964844, 45: -20.14543914794922, 46: -20.003538131713867, 47: -25.953168869018555, 49: -23.05667495727539}",0.9375,0.85,0.9776171874999999,0.9287890625000003
esc50,clap,class_threshold,euclidean,30,20,0,"{0: -22.572370529174805, 1: -17.7138729095459, 2: -24.607343673706055, 6: -20.082117080688477, 7: -25.120033264160156, 8: -20.049102783203125, 10: -29.332079983720877, 13: -24.79964828491211, 17: -19.444181442260742, 19: -19.88019561767578, 20: -24.389074325561523, 21: -22.342619953733504, 22: -25.092975616455078, 23: -25.456960678100586, 24: -21.393165588378906, 26: -26.240251541137695, 27: -21.48578453063965, 29: -25.054792404174805, 31: -24.275014877319336, 33: -26.97964859008789, 34: -23.70810317993164, 36: -21.774051666259766, 37: -24.172006607055664, 38: -22.006052017211914, 39: -23.349645614624023, 41: -24.3918514251709, 43: -23.525415420532227, 44: -24.207359313964844, 46: -20.003538131713867, 47: -25.953168869018555}",0.9416666666666667,0.84375,0.9801562500000001,0.9342578124999997
esc50,clap,class_threshold,euclidean,20,30,0,"{0: -22.572370529174805, 2: -24.607343673706055, 6: -20.082117080688477, 7: -25.120033264160156, 10: -24.919214248657227, 17: -19.444181442260742, 21: -22.342619953733504, 22: -25.092975616455078, 24: -21.393165588378906, 26: -26.240251541137695, 29: -25.054792404174805, 31: -24.275014877319336, 33: -26.97964859008789, 34: -23.70810317993164, 36: -21.774051666259766, 37: -24.172006607055664, 38: -22.006052017211914, 39: -23.349645614624023, 44: -24.207359313964844, 46: -20.003538131713867}",0.93125,0.9208333333333333,0.9757291666666668,0.9224999999999999
esc50,clap,class_threshold,euclidean,15,35,0,"{2: -24.607343673706055, 6: -20.082117080688477, 7: -25.120033264160156, 10: -24.919214248657227, 17: -19.444181442260742, 21: -22.342619953733504, 22: -25.092975616455078, 24: -21.393165588378906, 29: -25.054792404174805, 31: -24.275014877319336, 33: -26.97964859008789, 34: -23.70810317993164, 37: -24.172006607055664, 39: -23.349645614624023, 44: -24.207359313964844}",0.9166666666666666,0.9285714285714286,0.9763690476190476,0.9106249999999999
esc50,clap,class_threshold,euclidean,10,40,0,"{6: -20.082117080688477, 7: -25.120033264160156, 10: -24.919214248657227, 17: -19.444181442260742, 21: -22.097999572753906, 29: -25.054792404174805, 33: -26.97964859008789, 37: -24.172006607055664, 39: -23.349645614624023, 44: -24.207359313964844}",0.9625,0.953125,0.991796875,0.95703125
